SNPidentifier	variable	BF	rho_Spearman	chr	cM	order	allele1	allele2	missing	MAF
3255550|F|0	lat	199.21	-0.21	1	114.08	739	A	G	2	0.338
3256787|F|0	lon	87.394	0.168	3	95.93	3180	A	C	2	0.481
BOPA1_5004-375	lon	85.495	-0.162	5	72.8	5107	A	G	0	0.467
SCRI_RS_126437	verna_30d	83.088	-0.124	7	116.35	7994	C	T	0	0.059
SCRI_RS_126437	verna_mar_apr	80.159	-0.124	7	116.35	7994	C	T	0	0.059
BOPA1_4025-300	lon	72.208	0.189	3	97.75	3182	A	T	0	0.326
SCRI_RS_224392	lat	64.527	0.194	1	113.92	740	C	T	0	0.274
3260897|F|0	lon	57.641	-0.168	3	95.93	3166	G	T	4	0.412
SCRI_RS_107010	lon	56.113	-0.149	4	101.52	4226	C	T	0	0.23
SCRI_RS_163092	lon	52.01	0.169	3	95.93	3195	C	T	3	0.417
BOPA2_12_30894	lat	47.775	-0.187	7	37.752	7229	A	T	0	0.422
BOPA1_ABC03113-1-1-251	lon	40.343	-0.169	5	121.61	5448	A	G	0	0.193
SCRI_RS_167825	lon	38.767	-0.162	3	95.93	3177	A	C	0	0.407
3255549|F|0	lon	38.641	0.154	2	49.43	1314	A	T	5	0.415
BOPA1_1283-332	tamp_spr	35.615	-0.137	2	121.46	2209	A	C	0	0.378
SCRI_RS_142964	lat	33.329	-0.169	3	96.53	8310	A	G	0	0.467
3260160|F|0	lon	31.92	-0.141	5	59.53	5043	C	G	2	0.098
SCRI_RS_168538	lon	30.248	-0.172	3	57.32	2825	A	G	0	0.393
3254663|F|0	frost_jan_feb	30.15	-0.156	6	54.48	6823	A	T	3	0.318
SCRI_RS_69605	lon	28.823	0.185	3	57.32	2836	C	T	3	0.356
SCRI_RS_206827	lon	27.664	-0.139	6	114.24	6932	A	G	0	0.207
3262943|F|0	lon	27.32	0.153	2	49.43	1256	A	T	3	0.341
3262086|F|0	lat	26.64	-0.172	7	43.38	7262	C	T	12	0.301
3259096|F|0	lon	26.399	0.16	3	95.93	3181	C	T	8	0.472
BOPA2_12_31529	lon	26.231	-0.173	3	58.51	2882	A	G	0	0.459
SCRI_RS_161744	lon	24.572	-0.167	3	57.32	2849	C	G	0	0.393
SCRI_RS_187102	lon	24.572	-0.167	3	57.32	2847	A	G	0	0.393
